Question,Alternative,2023,2024,2024 Animated
Time Efficiency,Very little,14.29,10.45,4.48
Time Efficiency,Little,10.2,11.94,4.48
Time Efficiency,Okay,38.78,43.28,23.88
Time Efficiency,A lot,14.29,10.45,20.9
Time Efficiency,Very much,0.0,7.46,10.45
Learning outcome,Very little,10.42,8.96,5.97
Learning outcome,Little,8.33,22.39,8.96
Learning outcome,Okay,43.75,37.31,29.85
Learning outcome,A lot,14.58,13.43,16.42
Learning outcome,Very much,0.0,1.49,2.99
Engagement,Very little,28.57,24.24,10.45
Engagement,Little,34.69,27.27,11.94
Engagement,Okay,10.2,24.24,28.36
Engagement,A lot,6.12,7.58,5.97
Engagement,Very much,0.0,0.0,7.46
