	tid	plattform	hyppighet	mange_videoer_proc	mange_i_snitt_proc	tidseffektivt_proc	laeringsutbytte_proc	engasjerende_proc	andre_ressurser_proc	q1_proc	q2_proc	q3_proc	q4_proc	q5_proc	mange_videoer_virt	mange_i_snitt_virt	tidseffektivt_virt	laeringsutbytte_virt	engasjerende_virt	andre_ressurser_virt	q1_virt	q2_virt	q3_virt	q4_virt	q5_virt
questions	-	Which learning platform do you prefer?	How often do you watch videos?	How many of the lecture videos about processes have you watched?	How many times on average have you watched each lecture video about processes?	How time-efficient did you find using the lecture videos about processes?	How much did you learn from the lecture videos about processes?	How engaging were the lecture videos about processes?	What other learning resources have you used to learn about processes?	Which of these is not a reason for context switching?	What does the system call "fork" do?	What queues does the OS scheduler use in process management?	Which is not a way to terminate a process?	What is stored in a context switch?	How many of the videos about virtual memory have you watched?	How many times on average have you watched each video about virtual memory?	How time-efficient did you find using the videos about virtual memory?	How much did you learn from the videos about virtual memory?	How engaging were the videos about virtual memory?	What other learning resources have you used to learn about virtual memory?	Where is paging handled?	What is the function of the present-bit in a page-table?	What does a virtual memory address consist of? (on Linux)	How much space does the process think it has? (a process on Linux)	A multi-level page table...
answers	-	Lectures, Group sessions, Fellow students/study groups, Reading books, Video	Do not watch videos, Less often than once a week, Once a week, Twice a week, Three times a week, More than three times a week	None, 1, 2, 3	None, 1 time, 1-2 times, 2 times, 2-3 times, More than 3	Not watched, Very little, Little, Okay, A lot, Very much	Not watched, Very little, Little, Okay, A lot, Very much	Not watched, Very little, Little, Okay, A lot, Very much	Lectures, Textbook, Wikipedia, YouTube channels, Google search, AI Chatbot, Fellow students/study groups	Scheduler switches process because of algorithm and time (time slices), Interrupted (interrupts), Perform a function call, Perform a system call	Duplicates the process and continues in parallel, Starts a new thread in the same process, Splits the process into kernel mode and user mode, Starts a new process running a new program	Blocked and ready, Blocked Ready and running, Sleeping and running, Ready and sleeping	Return in the main function, System call "exit", System call "kill", System call "yield"	CPU cache, Page table, File descriptors, Stack pointer	None, 1, 2, 3, 4	None, 1 time, 1-2 times, 2 times, 2-3 times, More than 3	Not watched, Very little, Little, Okay, A lot, Very much	Not watched, Very little, Little, Okay, A lot, Very much	Not watched, Very little, Little, Okay, A lot, Very much	Lectures, Textbook, Wikipedia, YouTube channels, Google search, AI Chatbot, Fellow students/study groups	In the operating system, At the application level, At the network level, On the disk	It acts as a checksum for the page, It indicates whether a page is in memory or not, It indicates that the process has written to a virtual address in the page, It indicates that all pages of a process are in memory	Offset into page and page tables, Address to page tables and page, Address and offsets to page tables and pages, Address to physical memory	As much space as there is RAM in the computer, As much space as the architecture allows, Half of the storage space on disk, None of the mentioned	Allows the same element in the table to point to multiple pages, Used to prevent a process from wasting a lot of RAM on page tables, Is a page table that contains information about memory elements at all levels in the memory hierarchy, Is a table with an overview of interrupts
correct_answers	-	-	-	-	-	-	-	-	-	2	0	0	3	3	-	-	-	-	-	-	0	1	0	1	1
0	7:00	1, 4	2	3	1	2	2	1	0, 4	3	0	1	3	1	4	1	2	2	2	0	3	1	2	2	1
1	6:05	0, 1, 4	2	2	1	3	-	2	0	2	1	0	3	0	1	1	3	3	2	0	0	1	0	3	0
2	6:10	0,1,2	0	0	0	0	0	1	3,4,5,6	1	1	-	3	-	0	0	0	0	1	4,6	-	-	3	1	2
3	7:10	1,2,4	4	1	1	3	3	4	2,3,4,6	1	0	1	0	3	0	0	0	0	0	0	0	1	1	1	2
4	7:10	0,1,2,3,4	2	3	1	3	3	3	0,1	2	0	1	3	0	3	1	3	3	3	0,1	0	1	0	1	0
5	3:50	1,2	1	1	1	1	1	1	2,4,5,6	1	0	1	3	3	1	0	1	1	1	4,6	2	0	3	3	2
6	3:40	1	3	3	2	4	4	1	3	1	1	1	3	0	2	2	3	3	1	3	3	3	1	3	2
