	tid	plattform	hyppighet	mange_videoer_proc	mange_i_snitt_proc	tidseffektivt_proc	laeringsutbytte_proc	engasjerende_proc	andre_ressurser_proc	mange_i_snitt_animert_proc	tidseffektivt_animert_proc	laeringsutbytte_animert_proc	engasjerende_animert_proc	q1_proc	q2_proc	q3_proc	q4_proc	q5_proc	mange_videoer_virt	mange_i_snitt_virt	tidseffektivt_virt	laeringsutbytte_virt	engasjerende_virt	andre_ressurser_virt	mange_i_snitt_animert_virt	tidseffektivt_animert_virt	laeringsutbytte_animert_virt	engasjerende_animert_virt	q1_virt	q2_virt	q3_virt	q4_virt	q5_virt
questions	-	Hvilken læringsplattform foretrekker du?	Hvor ofte ser du på video?	Hvor mange av forelesningsvideoene om prosesser har du sett?	Hvor mange ganger i snitt har du sett hver forelesningsvideo om prosesser?	Hvor tidseffektiv synes du det var å bruke forelesningsvideoene om prosesser?	Hvor stort læringsutbytte har du hatt av forelesningsvideoene om prosesser?	Hvor engasjerende var forelesningsvideoene om prosesser?	Hvilke andre læringsressurser har du brukt for å lære om prosesser?	Hvor mange ganger i snitt har du sett denne ani- masjonsvideoen om prosesser?	Hvor tidseffektiv synes du det var å bruke animasjonsvideoen om prosesser?	Hvor stort læringsutbytte har du hatt av anmiasjonsvideoen om prosesser?	Hvor engasjerende var anmiasjonsvideoen om pros- esser?	Hvilken av disse er ikke en årsak til kontekst switching?	Hva gjør systemkallet "fork"?	Hvilke køer bruker OS scheduler i prosessforvaltning?	Hvilken er ikke en måte å terminere en prosess?	Hva lagres i en context switch?	Hvor mange av videoene om virtuelt minne har du sett?	Hvor mange ganger i snitt har du sett hver video om virtuelt minne?	Hvor tidseffektivt synes du det var å bruke videoene om virtuelt minne?	Hvor stort læringsutbytte har du hatt av videoene om virtuelt minne?	Hvor engasjerende var videoene om virtuelt minne?	Hvilke andre læringsressurser har du brukt for å lære om virtuelt minne?	Hvor mange ganger i snitt har du sett denne ani- masjonsvideoen om virtuelt minne?	Hvor tidseffektiv synes du det var å bruke animasjonsvideoen om virtuelt minne?	Hvor stort læringsutbytte har du hatt av anmiasjonsvideoen om virtuelt minne?	Hvor engasjerende var anmiasjonsvideoen om virtuelt minne?	Hvor håndteres paging?	Hva er funksjonen til present-bit i en page-table?	Hva består en virtuell minneaddresse av? (på linux)	Hvor mye plass tror prosessen at den har? (en prosess på linux)	En multi-level sidetabell ("page table") ...
answers	-	Forelesninger, Gruppetimer, Medstudenter/kollokvie, Lese bøker, Video	Ser ikke video, Sjeldnere enn 1 gang i uka, 1 gang i uka, 2 ganger i uka, 3 ganger i uka, Flere enn 3 ganger i uka	Ingen, 1 stk, 2 stk, 3 stk	Ingen, 1 gang, 1-2 ganger, 2 ganger, 2-3 ganger, Flere enn 3	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Forelesninger, Pensumbok, Wikipedia, Youtube kanaler, Googlesøk, AI Chatbot, Medstudenter/kollokvie	Ingen, 1 gang, 1-2 ganger, 2 ganger, 2-3 ganger, Flere enn 3	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Scheduler bytter prosess på grunn av algoritme og tid (time slices), Avbrutt (interrupts), Utføre et funksjonskall, Utføre et systemkall	Dupliserer prosessen og fortsetter i parallell, Starter en ny tråd i samme prosess, Deler opp prosessen i kjernemodus og brukermodus, Starte en ny prosess som utfører et nytt program	Blocked og ready, Blocked, ready og running, Sleeping og running, Ready og sleeping	Return i main-funksjonen, Systemkallet "exit", Systemkallet "kill", Systemkallet "yield"	CPU cache, Pagetable, File descriptors, Stackpointer	Ingen, 1 stk, 2 stk, 3 stk, 4 stk	Ingen, 1 gang, 1-2 ganger, 2 ganger, 2-3 ganger, Flere enn 3	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Forelesninger, Pensumbok, Wikipedia, Youtube kanaler, Googlesøk, AI Chatbot, Medstudenter/kollokvie	Ingen, 1 gang, 1-2 ganger, 2 ganger, 2-3 ganger, Flere enn 3	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	Ikke sett, Svært lite, Lite, Passe, Mye, Svært mye	I operativsystemet, På applikasjonsnivå, På nettverksnivået, På disken	Den fungerer som en checksum for pagen, Den sier om en page er i minne eller ikke, Det indikerer at prosessen har skrevet til en virtuell adresse i pagen, Det indikerer at alle pages til en prosess er i minne	Offset inn i page og pagetables, Adresse til pagetables og page, Adresse og offsets til pagetables og pages, Adresse til fysisk minne	Så mye plass som det er RAM i dataen, Så mye plass som arkitekturen tillater, Halvparten av lagringsplassen som er på disk, Ingen av de nevnte	Tillater at det samme elementet i tabellen peker på flere sider, Brukes for å unngå at en prosess sløser med bruk av veldig mye ram for pagetables, Er en sidetabell som har informasjon om minneelementer i alle nivåer i minnehierarkiet, Er en tabell med oversikt over interrupts
correct_answers	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0	0	3	3	-	-	-	-	-	-	-	-	-	-	0	1	0	1	1
0	9:07	1,2,4	5	3	1	1	2	1	3,4,5,6	1	2	1	1	3	0	1	3	3	1	1	2	3	1	4,5,6	0	0	0	0	0	0	2	3	1
1	7:06	1,2,4	2	1	1	4	4	3	0,5,6	1	5	4	4	2	0	1	0	3	0	0	0	0	0	0,5,6	0	0	0	0	0	1	0	1	2
2	8:21	0,2,4	2	2	2	4	4	2	0,3,4,5,6	0	0	0	0	2	3	1	3	3	1	1	3	3	2	0,3,5,6	0	0	0	0	0	0	2	1	2
3	8:00	0,1	2	2	1	2	2	1	0,2,4,5	0	3	3	2	1	3	1	3	3	1	1	2	2	2	0,4,5	1	3	3	3	0	1	2	1	0
4	8:15	1,3,4	5	3	1	2	2	1	0,1,2,3,4,5	2	4	4	3	2	0	1	3	3,4	0	0	0	0	0	0,1,2,3,4,5	0	0	0	0	0	1	2	1	1
5	7:30	0,4	1	0	0	0	0	0	0	0	0	0	0	2	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1
6	7:55	2	2	0	0	0	0	0	0,1,6	0	0	0	0	2	0	0	3	3	1	1	3	4	3	0,1,6	0	0	0	0	0	1	2	3	2
